Quest Title,Description,Task (Item & Quantity),Reward(s),Dependencies,Notes
Vertical Vibes,"Vertical gearboxes: power up, power down, power all around!","Vertical Gearbox x1","Cogwheel x4",Gearbox Groove,Intermediate
Pocket Portal,"Portable Storage Interfaces: pass items between contraptions like magic!","Portable Storage Interface x1","Quartz Block x4",Brass Kicker,Intermediate
Sequence Breaker,"Sequenced Gearshifts: automate complex moves and dance like a robot.","Sequenced Gearshift x1","Ancient Debris x4",Brass Kicker,Intermediate
Speed Demon,"Rotation Speed Controllers: go fast, go slow, go pro!","Rotation Speed Controller x1","Precision Mechanism x1",Brass Kicker,Intermediate
Precision Party,"Precision Mechanisms: the secret sauce for super-advanced machines.","Precision Mechanism x1","Precision Mechanism x1",Speed Demon,Intermediate
Arm-y of One,"Mechanical Arms: sort, grab, and move items like a boss.","Mechanical Arm x1","Golden Apple x1",Precision Party,Intermediate
Long Reach Larry,"Extendo Grip: reach for the stars (or just that faraway block).","Extendo Grip x1","Enchanted Book (Unbreaking III) x1",Brass Kicker,Intermediate
Tunnel Vision,"Brass Tunnels: split and filter items on belts-no traffic jams here!","Brass Tunnel x1","Brass Ingot x2",Brass Kicker,Intermediate
Vault Hunter,"Item Vaults: store all the loot your machines make!","Item Vault x1","Item Vault x1",Brass Kicker,Intermediate
Package Deal,"Packages: bundle up and ship out your items with style!","Package x2","Depot x1",Vault Hunter,Advanced
Wireless Wizard,"Redstone Links: send signals through the air like a techno-mage.","Redstone Link x2","Transmitter x1",Package Deal,Advanced
Signal Superstar,"Transmitters: broadcast your redstone genius to the world.","Transmitter x2","Link Controller x1",Wireless Wizard,Advanced
Show Off!,"Display Links: show off your machine stats and look smart doing it.","Display Link x1","Brass Sheet x2",Signal Superstar,Advanced
Threshold Tactician,"Threshold Switches: automate with perfect timing and precision.","Threshold Switch x1","Redstone Torch x4",Signal Superstar,Advanced
Brain in a Box,"Contraption Controllers: the brains behind every moving marvel.","Contraption Controller x1","Redstone Block x1",Signal Superstar,Advanced
Track Star,"Train Tracks: lay the foundation for your railway empire!","Track x16","Train Signal x2",Signal Superstar,Advanced
Signal Operator,"Train Signals: keep your trains on time and on track.","Train Signal x1","Train Observer x1",Track Star,Advanced
Train Spotter,"Train Observers: detect trains and automate your railway like a pro.","Train Observer x1","Redstone Comparator x2",Signal Operator,Advanced
Station Master,"Train Stations: where all great journeys begin (and end).","Train Station x1","Train Schedule x1",Train Spotter,Advanced
Locomotion Commotion,"Train Schedules: automate deliveries and become a railway tycoon!","Train Schedule x1","Brass Tunnel x2",Station Master,Advanced
Industrial Chic,"Weathered Iron, Cherry Windows, Sliding Doors: make your base the envy of every engineer.","Weathered Iron Block x1, Cherry Window x1, Sliding Door x1","Metal Ladder x1",Locomotion Commotion,Advanced
Catwalk Superstar,"Catwalks: strut your stuff and stay safe above the factory floor.","Catwalk x8","Catwalk Railing x8",Industrial Chic,Decor
Railing Royalty,"Catwalk Railings: don’t fall off your stylish walkways!","Catwalk Railing x8","Catwalk Stairs x4",Catwalk Superstar,Decor
Step Up!,"Catwalk Stairs: climb to new heights in industrial fashion.","Catwalk Stairs x4","Cage Lamp x1",Railing Royalty,Decor
Light Up the Night,"Cage Lamps: light up your world with industrial flair.","Cage Lamp x1","Chain Link Fence x4",Step Up!,Decor
Metal Makeover,"Sheet Metal: walls, floors, and more-shine on!","Sheet Metal x8","Support Block x4",Light Up the Night,Decor
Support Squad,"Support Blocks: keep your builds standing tall.","Support Block x8","Support Wedge x4",Metal Makeover,Decor
Wedge Wonder,"Support Wedges: for angled, awesome architecture.","Support Wedge x4","Coin Stack x1",Support Squad,Decor
Fenced In,"Chain Link Fences: keep things contained, look cool doing it.","Chain Link Fence x8","Bars x4",Light Up the Night,Decor
Behind Bars,"Bars: for windows, cages, and that industrial vibe.","Bars x8","Opaque Paneled Bar x2",Fenced In,Decor
Pane in the Glass,"Opaque Paneled Bars: solid, secure, and sleek.","Opaque Paneled Bar x2","Coin Stack x1",Behind Bars,Decor
Coin Collector,"Coin Stacks: show off your riches!","Coin Stack x1","Shipping Container x1",Pane in the Glass,Decor
Ship It!,"Shipping Containers: store your stuff in style.","Shipping Container x1","Window x2",Coin Collector,Decor
Window Shopper,"Industrial Windows: let the light in, keep the style out.","Window x2","Window Pane x4",Ship It!,Decor
Pane Perfection,"Window Panes: for all your factory’s fine details.","Window Pane x4","Door x1",Window Shopper,Decor
Open Sesame!,"Metal Doors: security and style, all in one swing.","Door x1","Ladder x2",Pane Perfection,Decor
Climb Time,"Metal Ladders: reach new heights with industrial flair.","Ladder x2","Decal x1",Open Sesame!,Decor
Sticker Shock,"Decals: mark hazards, decorate, or just look awesome.","Decal x1","Red Brick x8",Climb Time,Decor
Brick House (Red),"Red Bricks: classic color for classic builds.","Red Brick x8","Blue Brick x8",Sticker Shock,Decor
Brick House (Blue),"Blue Bricks: cool color for cool builds.","Blue Brick x8","Scarlet Brick x8",Brick House (Red),Decor
Brick House (Scarlet),"Scarlet Bricks: bold, bright, and beautiful.","Scarlet Brick x8","Umber Brick x8",Brick House (Blue),Decor
Brick House (Umber),"Umber Bricks: earthy tones for grounded builds.","Umber Brick x8","Dean Brick x8",Brick House (Scarlet),Decor
Brick House (Dean),"Dean Bricks: unique color for unique builders.","Dean Brick x8","Dusk Brick x8",Brick House (Umber),Decor
Brick House (Dusk),"Dusk Bricks: moody, mysterious, and marvelous.","Dusk Brick x8","Verdant Brick x8",Brick House (Dean),Decor
Brick House (Verdant),"Verdant Bricks: green up your factory!","Verdant Brick x8","Pearl Brick x8",Brick House (Dusk),Decor
Brick House (Pearl),"Pearl Bricks: shine bright with pearly whites.","Pearl Brick x8","Red Brick x8",Brick House (Verdant),Decor
Quality of Life Quest,"Wrench and Schematicannon: build smarter, not harder!","Wrench x1, Schematicannon x1","Potion Fluid Sample x1",Industrial Chic,Advanced
Integration Nation,"Try Create’s compatibility with other mods-expand your engineering empire!","Engineering Blueprint x1","Map Token x1",Quality of Life Quest,Advanced
